Package,Name,Version,Architecture
com.jaxroth.buzzbuzz,Buzz Buzz Lite,1.3.1,iphoneos-arm
com.jaxroth.modernbattery,Modern Battery,1.1.1,iphoneos-arm
com.jaxroth.smallmessageappdrawer,Small Message App Drawer,1.0.0,iphoneos-arm
com.jaxroth.statusweatherlite,Status Weather Lite,1.2.5,iphoneos-arm
com.jaxroth.supporttheunsupportedrevived,SupportTheUnsupported Revived,1.0.0,iphoneos-arm
com.jontelang.instalauncher2,InstaLauncher 2,1.8.2,iphoneos-arm
com.jontelang.instalauncher.packix,InstaLauncher,2.2.2,iphoneos-arm
com.jontelang.snapper2.packix,Snapper 2,2.7.0,iphoneos-arm64
com.jontelang.snapper3,Snapper 3,1.2,iphoneos-arm64
com.joshuaseltzer.carplayhidelabels,CarPlayHideLabels,1.0.1,iphoneos-arm64
com.joshuaseltzer.flixroulette,FlixRoulette for Netflix,2.0.1,iphoneos-arm64
com.joshuaseltzer.nextalarmsx,NextAlarmSX,1.0.0,iphoneos-arm64
com.joshuaseltzer.sleeperx,SleeperX,3.0.5,iphoneos-arm64
com.joshuaseltzer.ytholdforspeed,YTHoldForSpeed,1.2.3,iphoneos-arm64
com.joshua.truefocus,TrueFocus,0.0.3,iphoneos-arm64
com.joshua.volumeflex,VolumeFLEX,0.0.6,iphoneos-arm64
com.joyux.saige,Saige,1.3.8,iphoneos-arm64
com.jschiefner.advancedbrightnessslider,AdvancedBrightnessSlider,1.2.1,iphoneos-arm64
com.juanillo62gm.darkboardxs,DarkBoard,3.4.0,iphoneos-arm64
com.juanillo62gm.dbxsextensions,DarkBoard - Extensions,3.2.0,iphoneos-arm64
com.juanillo62gm.lbxsextensions,LightBoard - Extensions,3.2.0,iphoneos-arm64
com.juanillo62gm.lightboardxs,LightBoard,3.4.0,iphoneos-arm64
com.julian.Duo,Duo,1.7,iphoneos-arm64
com.julian.mi5theme,Mi5Theme,3.4,iphoneos-arm64
com.julian.Mi5Theme,Mi5Theme,3.3,iphoneos-arm64
com.julian.Nebula,Nebula,1.0,iphoneos-arm64
com.justnewdesigns.crayon,Crayon,1.2,iphoneos-arm64
com.justnewdesigns.crayonadaptive,CrayonAdaptive,1.0,iphoneos-arm64
com.justnewdesigns.dove,Dove Icons,1.0,iphoneos-arm64
com.justnewdesigns.gemicons,Gem Icons,1.0,iphoneos-arm64
com.justnewdesigns.nothingicons,Nothing Iconpack,1.0,iphoneos-arm64
com.kasper.fastlockx,FastLockX,1.1,iphoneos-arm
com.laughingquoll.emerald,Emerald,1.0.7,iphoneos-arm
com.laughingquoll.prysm,Prysm,1.9.1,iphoneos-arm
com.laughingquoll.quart,Quart,1.4.6.1,iphoneos-arm
com.lclrc.hammerit,Hammer It,1.7.0,iphoneos-arm64
com.lclrc.squidgesture,SquidGesture,2.1.6,iphoneos-arm64
com.lclrc.squidgesturepro,SquidGesture Pro,2.7.6,iphoneos-arm64
com.leemin.lockmaster,Lock Master,1.2.0,iphoneos-arm64
com.leftyfl1p.carbackground,Canvas (iOS 11-12),1.0,iphoneos-arm
com.leftyfl1p.carbackground13,Canvas (iOS 13-15),1.0,iphoneos-arm
com.leftyfl1p.carbridge13,CarBridge,2.0.15,iphoneos-arm64
com.leftyfl1p.carplay,CarBridge Legacy (old),1.0.9.5,iphoneos-arm
com.leslyecream.lonie,Lonie,5.0.3,iphoneos-arm64
com.matchstic.xenhtml,Xen HTML,2.0~release,iphoneos-arm
com.matteozappia.sonic,Sonic,1.6,iphoneos-arm
com.matteozappia.toneenablerpro,ToneEnablerPro,1.4,iphoneos-arm
com.maxghani.gladient,Gladient,2.2,iphoneos-arm64
com.maxpatchs.ango,Ango Full Theme Icons Settings UI Status Bar icons Music Control ,6.3,iphoneos-arm64
com.maxpatchs.hepta,HEPTA Theme Icons Settings Badges,2.9,iphoneos-arm64
com.maxpatchs.moxy,Moxy Theme Icons Settings,4.1,iphoneos-arm64
com.maxpatchs.premium,Premium UI Theme and Icon Pack,1.8,iphoneos-arm64
com.megadev.jellylockreborn,JellyLock Reborn,1.1,iphoneos-arm
com.megadev.sentinel,Sentinel,1.3.2,iphoneos-arm
com.miguelaka95.bettercc,BetterCC,0.0.5,iphoneos-arm
com.miguelaka95.customizecc,CustomizeCC,1.4.3,iphoneos-arm64
com.mikifp.griddy,Griddy,1.0,iphoneos-arm64
com.misakaproject.macaron,Macaron,1.0.1,iphoneos-arm64
com.miwix.selenium,Selenium,1.2.1,iphoneos-arm
com.mojox.dark,MojoX Dark,2.9,iphoneos-arm64
com.mrgcgamer.libgcuniversal,LibGcUniversal,1.7.0,iphoneos-arm64
com.mtac.alpine,Alpine,1.4,iphoneos-arm64
com.mtac.ampere,Ampere,1.4,iphoneos-arm64
com.mtac.bridge,Bridge,1.2.1,iphoneos-arm64
com.mtac.fingerlock,FingerLock,3.0,iphoneos-arm
com.mtac.lynx,Lynx,1.9.7.1,iphoneos-arm
com.mtac.lynxtwo,Lynx 2,2.5,iphoneos-arm64
com.mtac.quasar,Quasar,1.0.0,iphoneos-arm
com.mtac.uptime,Uptime,1.0.1,iphoneos-arm64
com.muirey03.13hud,13HUD,1.0.1,iphoneos-arm
com.muirey03.amandus,Amandus,1.0.1,iphoneos-arm
com.muirey03.centaur,Centaur,1.1.2,iphoneos-arm
com.muirey03.cr4shed,Cr4shed,4.3.0,iphoneos-arm
com.muirey03.duo,Duo,1.0.7,iphoneos-arm
com.muirey03.flow,Flow,1.2.2,iphoneos-arm
com.muirey03.iconsupportfix,IconSupportFix,1.0.0,iphoneos-arm
com.muirey03.libimagepicker,libimagepicker,1.0.4,iphoneos-arm64
com.muirey03.minotaur,Minotaur,1.2.1,iphoneos-arm
com.muirey03.powermodule,PowerModule,1.3.1,iphoneos-arm
com.muirey03.silentair,SilentAir,1.0.1,iphoneos-arm
com.muirey03.smallsiri,SmallSiri,1.2.2,iphoneos-arm
com.muirey03.waves,Waves,1.0.0-2,iphoneos-arm
com.muirey03.zenith,Zenith,1.2.6,iphoneos-arm
com.mystery.afsoon,Afsoon,1.3.0,iphoneos-arm64
com.mystery.lslyrics,LSLyrics,1.8,iphoneos-arm64
com.mystery.sanjeh,Sanjeh,2.0,iphoneos-arm64
com.nahtedetihw.accentcolor,AccentColor,1.0,iphoneos-arm
com.nahtedetihw.airpodscompanion,AirpodsCompanion,1.5,iphoneos-arm64
com.nahtedetihw.artfull,ArtFull,1.2,iphoneos-arm64
com.nahtedetihw.closeall,CloseAll,1.0,iphoneos-arm64
com.nahtedetihw.doodle,Doodle,1.2,iphoneos-arm64
com.nahtedetihw.dopeconvos,DopeConvos,4.6,iphoneos-arm
com.nahtedetihw.floatingdockxvi,FloatingDockXVI,2.3,iphoneos-arm64
com.nahtedetihw.gesturesxv,GesturesXV,1.6,iphoneos-arm64
com.nahtedetihw.landscapemusic,LandscapeMusic,1.0,iphoneos-arm
com.nahtedetihw.listening,Listening,1.0,iphoneos-arm64
com.nahtedetihw.musicalert,MusicAlert,1.2,iphoneos-arm64
com.nahtedetihw.musicbackground,MusicBackground,2.3,iphoneos-arm64
com.nahtedetihw.musicqueuebegone,MusicQueueBeGone,1.7,iphoneos-arm64
com.nahtedetihw.n95,N95,4.4,iphoneos-arm64
com.nahtedetihw.n95themepack,N95ThemePack,1.5,iphoneos-arm64
com.nahtedetihw.n95themepackv2,N95ThemePackV2,1.1,iphoneos-arm64
com.nahtedetihw.nocarplaysplashscreen,NoCarPlaySplashScreen,1.0,iphoneos-arm64
com.nahtedetihw.nowplayingiconxvi,NowPlayingIconXVI,1.0,iphoneos-arm64
com.nahtedetihw.pencilbanner,PencilBanner,1.3,iphoneos-arm
com.nahtedetihw.sixteenmusic,SixteenMusic,1.6,iphoneos-arm64
com.nahtedetihw.splitvieweverywhere,SplitViewEverywhere,1.0,iphoneos-arm64
com.nahtedetihw.touchbar,TouchBar,1.3,iphoneos-arm
com.nahtedetihw.volvibes,VolVibes,3.2,iphoneos-arm64
com.newwares.badgesync,BadgeSync,1.2.2,iphoneos-arm64
com.nicho1asdev.bigsurcenter,BigSurCenter,1.4.4,iphoneos-arm64
com.nicho1asdev.novus,Novus,1.1.0,iphoneos-arm64
com.oakstheawesome.whatamess,WhatAMess,1.0.1,iphoneos-arm64
com.octodev.nebula,Nebula,1.0.0-3,iphoneos-arm
com.one4studio.selene,Selene,1.1.0,iphoneos-arm64
com.opa334.crane,Crane,1.3,iphoneos-arm
com.opa334.cranelite,Crane Lite,1.3,iphoneos-arm
com.opa334.trollstorehelper,TrollStore Helper,2.1,iphoneos-arm64
com.opa334.trollstorelite,TrollStore Lite,2.1,iphoneos-arm64
com.p2kdev.arkita,Arkita,1.0.4,iphoneos-arm64
com.p2kdev.enchant,Enchant,1.3.2,iphoneos-arm
com.p2kdev.floatingdockplus13,FloatingDockPlus 13/14,1.1.9,iphoneos-arm
com.p2kdev.screenshotactions,ScreenshotActions,1.2,iphoneos-arm64
com.p2kdev.simpletime,SimpleTime,1.2.3.4,iphoneos-arm64
com.p2kdev.tinge,Tinge,1.2,iphoneos-arm64
com.p2kdev.underdock,UnderDock,1.3,iphoneos-arm64
com.p2kdev.vartaman,Vartaman,1.2.9,iphoneos-arm
com.peterdev.grupi,Grupi,2.1,iphoneos-arm
com.peterdev.half,half,1.0.3,iphoneos-arm
com.peterdev.libpddokdo,libPDDokdo,1.3.4,iphoneos-arm
com.peterdev.notchcontrol,NotchControl,1.0.1,iphoneos-arm
