Package,Name,Version,Architecture
com.cydiageek.smoothlockx,SmoothLockX,1.5.0,iphoneos-arm64
com.cydiageek.spotiplaypauseconfirm,SpotiPlayPauseConfirm,1.0.1,iphoneos-arm64
com.cydiageek.spotlightfolderjump,SpotlightFolderJump,1.0.0,iphoneos-arm64
com.cydiageek.spotlightless11,Spotlightless11,1.1.7,iphoneos-arm64
com.cydiageek.springanimations,SpringAnimations,1.1.1,iphoneos-arm64
com.cydiageek.tabbaraptic,TabBaraptic,1.0.3,iphoneos-arm64
com.cydiageek.tabbarscontrol,TabBarsControl,1.0.8,iphoneos-arm64
com.cydiageek.tapmediaconfirm,TapMediaConfirm,1.0.0,iphoneos-arm64
com.cydiageek.telegramstoryconfirm,TelegramStoryConfirm,1.0.0,iphoneos-arm64
com.cydiageek.tinticonlabel,TintIconLabel,1.0.5,iphoneos-arm64
com.cydiageek.titlefoldersize,TitleFolderSize,1.1.8,iphoneos-arm64
com.cydiageek.walletbrighter,WalletBrighter,1.0.0,iphoneos-arm64
com.cydiageek.wanometacircle,WANoMetaCircle,1.0.0,iphoneos-arm64
com.cydiageek.whiteccborders,WhiteCCBorders,1.0.0,iphoneos-arm64
com.cydiageek.wirefolders,WireFolders,1.0.0,iphoneos-arm64
com.cydiageek.wirevolumeslider,WireVolumeSlider,1.0.0,iphoneos-arm
com.den.igformat,IGFormat,1.78-101,iphoneos-arm64
com.den.respr1ng,Respr1ng,0.0.1-3,iphoneos-arm64
com.den.shortcutx,ShortCutx,0.0.1-1,iphoneos-arm64
com.dvntm.showmytouches,ShowMyTouches,1.1.2,iphoneos-arm
com.dvntm.walegacy,WALegacy,0.0.3-1,iphoneos-arm64
com.edualexxis.lsbhide,LSBHide,1.0,iphoneos-arm64
com.erik.applockerplus,App加锁助手(App Lock),7.6.0,iphoneos-arm64
com.erik.inapplock,In-App Locker(App内部锁),2.0.0,iphoneos-arm64
com.erik.revealloader,RevealLoader for 50,1.0.0,iphoneos-arm64
com.ethanrdoesmc.dawn,Dawn,1.2,iphoneos-arm64
com.iadam1n.statusfolder,StatusFolder,1.0.2,iphoneos-arm64
com.iamdega.mginspector,MGInspector,1.0.0,iphoneos-arm64
com.iamdega.notificationhub,NotificationHub,1.0.3,iphoneos-arm64
com.icraze.easynotifications,Easy Notifications,3.0,iphoneos-arm64
com.iface360.pandabeautyloader,Panda Beauty Assistant(熊猫美颜助手),1.2.0,iphoneos-arm64
com.kingpuffdaddi.control-center.ccvibration,CCVibration,1.0.4,iphoneos-arm64
com.kingpuffdaddi.control-center.ccvpn,CCVPN,1.0.6,iphoneos-arm64
com.kingpuffdaddi.hotspotqr,HotspotQR,1.1.3,iphoneos-arm64
com.kingpuffdaddi.lowpowerdnd,LowPowerDND,1.1.5,iphoneos-arm64
com.kingpuffdaddi.notif,Notif,1.1.3,iphoneos-arm64
com.kingpuffdaddi.pauseonmute,PauseOnMute,1.2.4,iphoneos-arm64
com.kingpuffdaddi.wifiqr,WiFiQR,1.1.1,iphoneos-arm64
com.lns.duckoff,DuckOff,0.0.1,iphoneos-arm64
com.lns.pogr,PodsGrant,0.3.0,iphoneos-arm64
com.missthee.keepswitcheranimation15,keepSwitcherAnimation15,0.0.1,iphoneos-arm
com.mostafa89.celltic,CellTic,1.3.1,iphoneos-arm64
com.netskao.qqipadmodelogin,QQiPadModeLogin,1.1-1,iphoneos-arm64
com.netskao.twitternoads,Twitter NoAds,1.1-1,iphoneos-arm64
com.opa334.altlist,AltList,1.0.11,iphoneos-arm64
com.opa334.ccsupport,CCSupport,1.3.13-2,iphoneos-arm64
com.opa334.choicy,Choicy,1.5.3-2,iphoneos-arm64
com.opa334.libsandy,libSandy,1.1.6-3,iphoneos-arm64
com.opa334.libundirect,libundirect,1.1.6,iphoneos-arm64
com.superdev.amg,AMG 奔驰,8.3,iphoneos-arm64
com.swing.bilibili,哔哩哔哩NoAds,1.1.0,iphoneos-arm64
com.tigisoftware.appdatamanager,Apps Manager,1.8.2-5,iphoneos-arm64
com.tigisoftware.filza,Filza File Manager,4.0.1-3,iphoneos-arm64
com.tomaszpoliszuk.applibrarydisabler,App Library Disabler,1.1.1,iphoneos-arm64
com.tomaszpoliszuk.colorpickerwell,Color Picker Well,1.0.0,iphoneos-arm64
com.tomaszpoliszuk.datepickerwheels,Date Picker - Wheels,1.0.1,iphoneos-arm64
com.tomaszpoliszuk.dockcontroller,Dock Controller,2.1,iphoneos-arm64
com.tomaszpoliszuk.keyboardcontroller,Keyboard Controller,1.2.3,iphoneos-arm64
com.torrekie.simplecncallkitenabler,SimpleCNCallkitEnabler,0.0.1,iphoneos-arm64
com.witchan.witchanagent,iOS远程大师,0.0.3,iphoneos-arm64
com.zorrovip.bigboss.rootless,Zorro全系備份「rootless无根」,18.0.2,iphoneos-arm64
com.zqbb.fix120hz,Hello 120Hz,3.3.0-1,iphoneos-arm64
com.zqbb.limitcharging,LimitCharging (限制充电),1.0,iphoneos-arm64
dev.extbh.tbb.jodelemproved,Jodel EMPROVED,1.1.7,iphoneos-arm64
eg.anubistweaks.phoneenhancer15,Phone Enhancer 15,1.7.0,iphoneos-arm64
fun.asmo.analyticswechat,微信分析 (AnalyticsWeChat),1.2.0,iphoneos-arm64
info.mostafa89.infobar,Tapii,1.2.0,iphoneos-arm64
ios.cajb.videodownloader,网页视频下载器Web Video Downloader-缓存网站视频,2.7.5,iphoneos-arm64
jb.acc.gpsmanager,GPS Manager(GPS定位管家),2.2.9,iphoneos-arm64
jp.r-plus.doublecut,DoubleCut,0.8,iphoneos-arm64
jp.r-plus.slidecut,SlideCut,0.9,iphoneos-arm64
jp.r-plus.swipeshiftcaret,SwipeShiftCaret,1.11,iphoneos-arm64
me.afhook.app,改个应用-专业的应用修改软件,3.7.0,iphoneos-arm64
me.health.app,改个步数-专业的步数修改软件,3.2.0,iphoneos-arm64
me.ikghd.lsfcdenied,LSFCDenied,0.0.5,iphoneos-arm64
me.liuming.apphider,App Hider(应用隐藏助手)-Make Apps disappeared from SpringBoard,2.2.6,iphoneos-arm64
me.liuming.locationexpert,虚拟定位专家(GPS Faker Expert)-模拟导航，扫街,3.3.8,iphoneos-arm64
me.liuming.locationhelper,虚拟定位助手 GPS Faker,5.7.5,iphoneos-arm64
me.lochook.app,定个位-专业的位置修改软件,5.3.0,iphoneos-arm64
net.ajbbo.acgps,ACGPS,1.0,iphoneos-arm64
net.joebruce.fakepicture,FakePicture(拍照替换)-taking pseudo selfie,1.9.2,iphoneos-arm64
net.joebruce.fakeqrcode,FakeQRCode(二维码替换)-scan pseudo barcode,1.2.9,iphoneos-arm64
net.joebruce.gpsmaster,GPS Master(GPS定位大师)-Fake NavigationLocation Spoofer,2.2.6,iphoneos-arm64
net.joebruce.respringhelper,Respring Helper(重启桌面)-restart SpringBoard,1.5.5,iphoneos-arm64
net.joebruce.uninstallguard,UninstallGuard(卸载守护者) - forbid removing Apps,1.5.6,iphoneos-arm64
net.limneos.livecalltranslator,Live Call Translator,0.1-41,iphoneos-arm64
netskao.wechatpurification,微信净化,4.2-7,iphoneos-arm64
org.thebigboss.whatsapprevael,Whatsapp Revael,10.23,iphoneos-arm64
preferenceloader,PreferenceLoader,2.2.7,iphoneos-arm64
pro.ikghd.ikset,iKSettings,3.3,iphoneos-arm64
