Package,Name,Version,Architecture
ha.tinyapps.FindAlert,Find Alert,2.2,iphoneos-arm64
hi.my.name.is.ubik.kalm,Kalm,3.0.3,iphoneos-arm
iterm2-shell-integration,iTerm2 Shell Integration,1.0+gita586923,iphoneos-arm
jp.dcsyhi.airaw,Airaw,1.6.7,iphoneos-arm64
jp.dcsyhi.zetsu,Zetsu,1.6,iphoneos-arm64
libnet9,libnet9,1.2-1,iphoneos-arm
lunotech11.legizmo.grace,Legizmo Grace ,2.3.1,iphoneos-arm
lunotech11.Legizmo.Grace,Legizmo 'Grace' (watchOS 6 – 7),2.3.1-3,iphoneos-arm
lunotech11.legizmo.jupiter,Legizmo 'Jupiter' (watchOS 6 - 8),3.3.2-2,iphoneos-arm
lunotech11.Legizmo.Jupiter,Legizmo 'Jupiter',3.3.2,iphoneos-arm
lunotech11.legizmo.kincaid,Legizmo 'Kincaid' (watchOS 6 – 9),4.2.5,iphoneos-arm64
lunotech11.Legizmo.Kincaid,Legizmo 'Kincaid',4.0,iphoneos-arm
lunotech11.legizmo.lighthouse,Legizmo 'Lighthouse',5.3,iphoneos-arm64
me.aspenuwu.xenon,Xenon,1.1.3,iphoneos-arm
me.aspenuwu.zinnia,Zinnia,1.1.5,iphoneos-arm
me.aspenuwu.zinnia.trial,Zinnia (Trial),1.1.4,iphoneos-arm
me.daveapps.counted,Counted,1,iphoneos-arm
me.lau.atria,Atria,1.4.1,iphoneos-arm64
me.lightmann.iamlazy,IAmLazy,2.6.2,iphoneos-arm64
me.midnightchips.asteroid14,Asteroid,1.0,iphoneos-arm
me.midnightchips.harpy-reloaded,Harpy Reloaded,1.0.1,iphoneos-arm
me.midnightchips.relocateme,RelocateMe,1.0,iphoneos-arm
me.midnightchips.snapback,SnapBack,2.0.3,iphoneos-arm
me.nebula.ding,Ding,1.1.0,iphoneos-arm64
me.renai.lyricify,Lyricify,2.1.4-1,iphoneos-arm
me.surenix.ayeris,ayeris,1.5,iphoneos-arm64
weeb.lillie.youtubedislikesreturn,Return YouTube Dislike,1.9.1,iphoneos-arm
ws.hbang.alderis,Alderis Color Picker,1.2,iphoneos-arm
ws.hbang.common,Cephei Tweak Support,2.0,iphoneos-arm64
ws.hbang.newterm2,NewTerm 2,2.5,iphoneos-arm
ws.hbang.newterm3,NewTerm 3 Beta,3.0~beta1,iphoneos-arm64
ws.hbang.newtermfonts,NewTerm Fonts Add-on,1.0,iphoneos-arm
ws.hbang.quanta,Quanta (iOS 13),1.0,iphoneos-arm
ws.hbang.runtimebrowser,RuntimeBrowser,1.1,iphoneos-arm
ws.hbang.stopcrashingpls,StopCrashingPls,1.0,iphoneos-arm
xyz.burritoz.thomz.multipla,Multipla,2.1.6,iphoneos-arm
xyz.burritoz.thomz.multiplalite,Multipla Lite,2.0.0~lite-1,iphoneos-arm
xyz.royalapps.jellyfish,Jellyfish,1.6.5,iphoneos-arm
xyz.royalapps.prokeys,ProKeys,1.1,iphoneos-arm
